Match ID,Match URL,League,League ID,Match Start Time,Home Team,Away Team,Home Goals,Away Goals,Home Team ID,Away Team ID,Home Expected goals (xG),Away Expected goals (xG),Home Penalties,Away Penalties,Home xG penalty,Away xG penalty,Home xG first half penalty,Away xG first half penalty,Home xG 2nd half penalty,Away xG 2nd half penalty,Home xG first half,Away xG first half,Home xG second half,Away xG second half,Home xG on target (xGOT),Away xG on target (xGOT),Home xG open play,Away xG open play,Home xG set play,Away xG set play,Home Ball possession,Away Ball possession,Home Total shots,Away Total shots,Home Chances created,Away Chances created,Home Big chances,Away Big chances,Home Accurate passes,Away Accurate passes,Home Pass success,Away Pass success,Home Fouls conceded,Away Fouls conceded,Home Corners,Away Corners,Home Offsides,Away Offsides,Home Shots,Away Shots,Home Shots on target,Away Shots on target,Home Shots off target,Away Shots off target,Home Blocked shots,Away Blocked shots,Home Shots woodwork,Away Shots woodwork,Home Shots inside box,Away Shots inside box,Home Shots outside box,Away Shots outside box,Home Own half,Away Own half,Home Opposition half,Away Opposition half,Home Passes,Away Passes,Home Touches,Away Touches,Home Long balls,Away Long balls,Home Accurate long balls,Away Accurate long balls,Home Crosses,Away Crosses,Home Accurate crosses,Away Accurate crosses,Home Throws,Away Throws,Home Duels won,Away Duels won,Home Duels,Away Duels,Home Dribbles attempteds,Away Dribbles attempteds,Home Dribbles succeeded,Away Dribbles succeeded,Home Tackles attempted,Away Tackles attempted,Home Tackles succeeded,Away Tackles succeeded,Home Aerials won,Away Aerials won,Home Interceptions,Away Interceptions,Home Discipline,Away Discipline,Home Yellow cards,Away Yellow cards,Home Red cards,Away Red cards,Home Keeper,Away Keeper,Home Saves,Away Saves,Home Diving saves,Away Diving saves,Home Saves inside box,Away Saves inside box,Home Acted as sweeper,Away Acted as sweeper,Home Punches,Away Punches
3608073,https://www.fotmob.com/livescores/3608073/matchfacts/livingston-vs-aberdeen,Scotland Premiership,64,08-August-2021,Livingston,Aberdeen,1,2,8282,8485,1.56,0.59,0,0,,,0.0,0.0,0.0,0.0,1.16,0.07,0.40,0.51,0.53,0.62,0.90,0.30,0.66,0.29,37,63,12,11,10,9,1,0,183,377,63%,79%,21,12,6,2,2,1,12,11,4,3,6,7,2,1,0,0,11,8,1,3,107,235,76,142,289,475,448,678,82,93,30,50,15,24,4,8,14,24,57,55,112,112,7,10,1,3,11,6,8,3,33,27,13,11,,,5,0,0,0,,,1,2,0,0,1,3,0,0,0,1
3608075,https://www.fotmob.com/livescores/3608075/matchfacts/st.-johnstone-vs-motherwell,Scotland Premiership,64,08-August-2021,St. Johnstone,Motherwell,1,1,8467,9927,0.75,2.29,0,0,,,0.0,0.0,0.0,0.0,0.19,0.45,0.56,1.84,0.50,2.80,0.63,0.99,0.12,1.29,52,48,13,10,9,8,0,1,264,249,72%,72%,12,10,8,6,4,1,13,10,4,5,5,5,4,0,0,0,9,8,4,2,128,154,136,95,368,345,584,560,72,67,24,29,35,20,4,4,31,9,56,70,126,126,22,11,9,8,12,17,10,9,26,34,8,15,,,2,2,0,0,,,4,4,3,4,4,2,0,1,0,1
3608071,https://www.fotmob.com/livescores/3608071/matchfacts/dundee-united-vs-rangers,Scotland Premiership,64,07-August-2021,Dundee United,Rangers,1,0,9938,8548,0.69,0.77,0,0,,,0.0,0.0,0.0,0.0,0.38,0.54,0.32,0.23,1.03,0.29,0.44,0.44,0.25,0.33,32,68,9,14,5,11,1,0,149,431,59%,83%,11,8,5,8,0,1,9,14,2,2,1,7,6,5,0,0,5,8,4,6,66,198,83,233,253,518,445,732,63,36,17,12,15,38,5,10,14,30,57,47,104,104,10,12,7,5,17,14,10,9,25,18,12,2,,,4,1,0,0,,,2,1,1,1,1,0,0,0,0,1
3608074,https://www.fotmob.com/livescores/3608074/matchfacts/st.-mirren-vs-hearts,Scotland Premiership,64,07-August-2021,St. Mirren,Hearts,1,2,9800,9860,0.85,0.48,0,0,,,0.0,0.0,0.0,0.0,0.22,0.28,0.63,0.20,0.95,0.74,0.25,0.48,0.60,0.00,49,51,10,11,10,12,1,0,251,309,70%,76%,11,11,4,0,5,1,10,11,3,4,3,6,4,1,0,1,4,7,6,4,120,130,131,179,361,409,547,590,76,80,21,27,34,9,8,2,28,19,62,64,126,126,17,11,10,5,14,18,10,11,27,30,7,8,,,1,2,1,0,,,2,2,1,0,2,0,1,1,0,2
3608068,https://www.fotmob.com/livescores/3608068/matchfacts/aberdeen-vs-dundee-united,Scotland Premiership,64,01-August-2021,Aberdeen,Dundee United,2,0,8485,9938,0.91,0.51,0,0,,,0.0,0.0,0.0,0.0,0.52,0.35,0.39,0.15,0.63,0.03,0.84,0.41,0.07,0.09,58,42,7,5,6,5,2,1,442,282,82%,74%,12,17,5,4,1,3,7,5,3,1,2,2,2,2,0,0,5,2,2,3,309,169,133,113,536,383,717,544,71,58,34,17,14,13,3,5,21,17,38,50,88,88,17,8,4,3,10,20,7,13,7,16,18,4,,,1,3,0,0,,,2,1,0,1,0,1,0,0,0,0
3608069,https://www.fotmob.com/livescores/3608069/matchfacts/motherwell-vs-hibernian,Scotland Premiership,64,01-August-2021,Motherwell,Hibernian,2,3,9927,10251,1.59,2.59,0,1,0.00,0.79,0.0,0.0,0.0,0.7884,0.76,0.92,0.83,1.67,2.37,2.79,0.83,1.57,0.76,0.24,43,57,9,14,10,6,2,3,223,330,69%,79%,21,11,2,4,1,0,9,14,5,5,3,7,1,2,0,1,4,10,5,4,114,186,109,144,324,420,494,632,71,64,29,21,15,21,3,5,22,15,60,64,124,124,16,13,10,10,11,17,5,13,29,17,10,10,,,5,3,0,0,,,2,3,1,1,1,1,0,0,0,0
3608064,https://www.fotmob.com/livescores/3608064/matchfacts/rangers-vs-livingston,Scotland Premiership,64,31-July-2021,Rangers,Livingston,3,0,8548,8282,2.51,0.08,0,0,,,0.0,0.0,0.0,0.0,0.67,0.04,1.84,0.04,3.42,0.00,1.95,0.08,0.57,0.00,77,23,18,2,16,2,2,0,547,90,88%,50%,8,14,7,1,6,3,18,2,8,0,6,1,4,1,0,0,13,1,5,1,265,52,282,38,621,181,825,346,43,71,26,17,30,6,8,2,26,10,59,47,106,106,28,7,16,2,8,23,5,13,22,14,9,18,,,0,5,0,0,,,0,5,0,3,0,3,0,0,0,0
3608065,https://www.fotmob.com/livescores/3608065/matchfacts/dundee-fc-vs-st.-mirren,Scotland Premiership,64,31-July-2021,Dundee FC,St. Mirren,2,2,8284,9800,1.12,2.43,0,1,0.00,0.79,0.0,0.0,0.0,0.7884,0.56,0.84,0.56,1.58,1.50,2.87,0.80,1.52,0.32,0.12,47,53,11,14,11,10,1,1,146,175,55%,65%,13,14,8,11,1,5,11,14,4,5,2,5,5,4,0,0,10,9,1,5,62,56,84,119,264,270,461,487,84,74,22,23,21,45,6,9,16,13,65,59,124,124,14,12,5,8,12,16,6,12,36,24,6,11,,,2,2,1,0,,,3,3,1,1,3,3,0,0,0,0
3608066,https://www.fotmob.com/livescores/3608066/matchfacts/ross-county-vs-st.-johnstone,Scotland Premiership,64,31-July-2021,Ross County,St. Johnstone,0,0,8649,8467,0.23,1.52,0,1,0.00,0.79,0.0,0.0,0.0,0.7884,0.20,0.15,0.03,1.37,0.00,0.46,0.12,0.58,0.11,0.15,45,55,4,10,3,7,0,0,211,271,66%,70%,19,14,0,4,0,2,4,10,0,2,3,4,1,4,0,1,4,5,0,5,101,115,110,156,318,385,529,607,53,78,21,31,12,22,3,5,18,28,71,75,146,146,11,25,5,10,22,15,15,9,31,33,8,12,,,4,1,0,0,,,2,0,2,0,0,0,0,1,0,0
3608067,https://www.fotmob.com/livescores/3608067/matchfacts/hearts-vs-celtic,Scotland Premiership,64,31-July-2021,Hearts,Celtic,2,1,9860,9925,1.20,1.29,0,0,,,0.0,0.0,0.0,0.0,0.94,0.61,0.25,0.68,1.33,0.99,1.03,1.07,0.16,0.22,26,74,11,19,9,16,1,1,144,573,67%,91%,4,11,6,5,8,1,11,19,4,7,4,7,3,5,0,0,10,11,1,8,73,266,71,307,216,632,437,856,56,27,21,16,20,22,7,2,18,27,53,45,98,98,17,20,5,10,25,23,13,14,13,8,19,14,,,0,0,0,0,,,6,2,3,1,4,1,0,1,3,2
